(1, [50], 160.16030974388121) 
(1, [100], 74.28667135238648) 
(1, [150], 56.32441372871399) 
(1, [200], 58.14046745300293) 
(1, [250], 59.27561693191528) 
(1, [300], 60.13271079063416) 
(1, [350], 62.545837545394896) 
(1, [400], 70.28045897483825) 
(1, [450], 68.23296370506287) 
(1, [500], 73.73755602836609) 
(1, [550], 78.66695389747619) 
(1, [600], 81.99944491386414) 
(1, [650], 84.83954772949218) 
(1, [700], 97.8284722328186) 
(1, [750], 84.19204750061036) 
(1, [800], 113.66978497505188) 
(1, [850], 111.57138657569885) 
(1, [900], 111.95961265563965) 
(1, [950], 123.17534909248351) 
